NAME,GEOID,minx,miny,maxx,maxy
Diamond,1719837,-88.269533,41.274033,-88.226737,41.295841
Dieterich,1719915,-88.398092,39.04564,-88.365711,39.071529
Divernon,1720045,-89.660606,39.553093,-89.639579,39.600487
Dix,1720123,-88.956195,38.432445,-88.927738,38.458648
Dixmoor,1720149,-87.679505,41.622648,-87.656021,41.642415
Dixon,1720162,-89.515377,41.80161,-89.438933,41.885711
Dolton,1720292,-87.633973,41.606693,-87.573361,41.644732
Dongola,1720305,-89.175538,37.35218,-89.15537,37.369691
Donnellson,1720318,-89.487402,39.023918,-89.468613,39.035191
Donovan,1720331,-87.621,40.878015,-87.605379,40.888821
Dorchester,1720370,-89.894943,39.078176,-89.875957,39.09272
Dover,1720526,-89.403085,41.429407,-89.388646,41.440011
Dowell,1720565,-89.243412,37.932628,-89.23329,37.94655
Downers Grove,1720591,-88.05745,41.743853,-87.983354,41.839078
Downs,1720643,-88.920412,40.377907,-88.858095,40.421926
Du Bois,1720890,-89.231537,38.213928,-89.20275,38.228766
Du Quoin,1721267,-89.264385,37.970939,-89.205761,38.031506
Dundas,1721020,-88.094564,38.826355,-88.075846,38.841576
Dunfermline,1721098,-90.037119,40.48738,-90.029673,40.495192
Dunlap,1721176,-89.703065,40.824097,-89.648993,40.867914
Dupo,1721254,-90.251996,38.48342,-90.186193,38.548176
Durand,1721280,-89.341655,42.423775,-89.303037,42.442504
Dwight,1721358,-88.451398,41.079172,-88.391479,41.120227
Eagarville,1721410,-89.792902,39.104581,-89.774278,39.119192
Eagle Lake,1721475,-87.5593,41.35962,-87.549424,41.382313
Earlville,1721540,-88.937841,41.579146,-88.904342,41.598275
East Alton,1721553,-90.149161,38.858085,-90.074082,38.909382
East Brooklyn,1721579,-88.269436,41.17091,-88.262,41.174418
East Cape Girardeau,1721605,-89.505319,37.288301,-89.468569,37.303072
East Carondelet,1721618,-90.255063,38.517898,-90.225074,38.553495
East Dubuque,1721683,-90.650283,42.460958,-90.585359,42.508302
East Dundee,1721696,-88.284695,42.071471,-88.230141,42.114465
East Galesburg,1721826,-90.326343,40.932976,-90.297968,40.957248
East Gillespie,1721852,-89.820832,39.131105,-89.801909,39.144694
East Hazel Crest,1721904,-87.665532,41.57172,-87.630601,41.582343
East Lynn,1722021,-87.805184,40.462041,-87.795493,40.47302
East Moline,1722073,-90.46295,41.47864,-90.275765,41.550279
East Peoria,1722164,-89.616369,40.619266,-89.474812,40.719065
East St. Louis,1722255,-90.186665,38.578753,-90.041694,38.642668
Easton,1722151,-89.850887,40.228857,-89.828795,40.234689
Eddyville,1722398,-88.589103,37.493304,-88.579856,37.506677
Edgewood,1722567,-88.67354,38.914777,-88.654436,38.929623
Edgington,1722619,-90.773373,41.379417,-90.754038,41.394362
Edinburg,1722645,-89.401958,39.650675,-89.377865,39.664062
Edwardsville,1722697,-90.085985,38.760207,-89.883583,38.825357
Effingham,1722736,-88.60389,39.068898,-88.504549,39.169909
El Dara,1722957,-91.001191,39.615368,-90.982273,39.63012
El Paso,1723737,-89.044229,40.729625,-88.973401,40.758531
Elburn,1722931,-88.487101,41.859688,-88.442449,41.913903
Eldorado,1723009,-88.465929,37.797656,-88.420816,37.834269
Eldred,1723022,-90.559682,39.283056,-90.548681,39.289295
Elgin,1723074,-88.455197,41.971576,-88.222773,42.103579
Eliza,1723139,-90.97792,41.291961,-90.966024,41.29788
Elizabeth,1723165,-90.255389,42.30904,-90.193609,42.321984
Elizabethtown,1723191,-88.313343,37.441089,-88.294842,37.455335
Elk Grove Village,1723256,-88.060568,41.983265,-87.935217,42.038752
Elkhart,1723269,-89.493655,40.001853,-89.446734,40.028103
Elkville,1723373,-89.243811,37.901626,-89.229616,37.917451
Elliott,1723425,-88.288644,40.457437,-88.267297,40.471034
Ellis Grove,1723503,-89.918596,38.004176,-89.900523,38.018368
Ellisville,1723529,-90.310813,40.623237,-90.301258,40.631429
Ellsworth,1723555,-88.721471,40.446215,-88.711936,40.453584
Elmhurst,1723620,-87.969181,41.85865,-87.9184,41.931573
Elmwood,1723698,-89.980717,40.770798,-89.951679,40.792234
Elmwood Park,1723724,-87.826254,41.908545,-87.805748,41.937939
Elsah,1723776,-90.366977,38.942576,-90.343014,38.963094
Elvaston,1723841,-91.25932,40.388074,-91.24127,40.40363
Elwin,1723919,-88.985524,39.765759,-88.968784,39.785946
Elwood,1723945,-88.189904,41.375072,-88.077796,41.447195
Emden,1723971,-89.488988,40.293829,-89.480453,40.304719
Emington,1724062,-88.360738,40.965246,-88.353213,40.972203
Energy,1724166,-89.040202,37.756404,-89.012276,37.785792
Enfield,1724179,-88.350858,38.093503,-88.327592,38.108003
Equality,1724348,-88.353197,37.728169,-88.332402,37.743617
Erie,1724374,-90.093309,41.647208,-90.068262,41.671079
Essex,1724452,-88.209923,41.169571,-88.161782,41.194481
Eureka,1724543,-89.30396,40.697504,-89.25881,40.736644
Evanston,1724582,-87.732456,42.019134,-87.66507,42.071732
Evansville,1724608,-89.948483,38.081707,-89.917806,38.099179
Evergreen Park,1724634,-87.721654,41.706079,-87.681843,41.735444
Ewing,1724673,-88.862084,38.081393,-88.843574,38.096284
Exeter,1724699,-90.50746,39.71328,-90.488408,39.727981
Fairbury,1724764,-88.55464,40.733296,-88.484063,40.758515
Fairfield,1724816,-88.424135,38.356889,-88.334791,38.401031
Fairmont,1724920,-88.072696,41.553067,-88.044102,41.571708
Fairmont City,1724933,-90.175158,38.636665,-90.037006,38.673449
Fairmount,1724985,-87.83655,40.039285,-87.818796,40.051325
Fairview,1725063,-90.21467,40.629298,-90.159131,40.66694
Fairview Heights,1725141,-90.052291,38.567317,-89.96155,38.625382
Fall Creek,1725245,-91.305721,39.778049,-91.300913,39.784956
Farina,1725375,-88.80786,38.803177,-88.765244,38.843521
Farmer City,1725414,-88.663074,40.232527,-88.620512,40.262361
Farmersville,1725440,-89.663572,39.433356,-89.639487,39.450489
Farmington,1725531,-90.019874,40.6885,-89.976658,40.706506
Fayetteville,1725713,-89.804803,38.372672,-89.791403,38.381363
Ferris,1725895,-91.183799,40.457214,-91.153499,40.479907
Fidelity,1725960,-90.16702,39.15077,-90.16161,39.157798
Fieldon,1726012,-90.503548,39.104789,-90.495268,39.115983
Fillmore,1726077,-89.288021,39.108109,-89.269251,39.122733
Findlay,1726116,-88.764028,39.514142,-88.743886,39.529098
